sentença,julgamento,julgamento_2,dano_moral_individual,faixa_dano_moral_individual,data_julgamento,juiz,tipo_juiz,direito_de_arrependimento,descumprimento_de_oferta,extravio_definitivo,extravio_temporário,intervalo_extravio_temporário,faixa_intervalo_extravio_temporário,violação_furto_avaria,cancelamento/alteração_destino,atraso,intervalo_atraso,faixa_intervalo_atraso,culpa_exclusiva_consumidor,condições_climáticas/fechamento_aeroporto,noshow,overbooking,assistência_cia_aérea,hipervulnerável
390,parcial_procedente,-,R$ 0.00,0,27/07/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,-,N
391,parcial_procedente,-,"R$ 4,000.00",2,12/09/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,07:00:00,2,N,N,N,N,N,N
392,total_procedente,-,"R$ 7,000.00",4,01/09/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,14:00:00,4,N,N,N,N,-,N
393,total_procedente,-,"R$ 5,000.00",3,05/09/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,N,N
394,parcial_procedente,-,"R$ 10,000.00",5,15/09/2016,Vânia Petermann,Titular,N,N,N,S,6,3,N,N,N,-,0,N,N,N,N,N,N
395,parcial_procedente,-,"R$ 1,000.00",1,04/07/2016,Fernando de Castro Faria,Titular,N,N,N,N,-,0,S,N,N,-,0,N,N,N,N,S,N
396,parcial_procedente,-,"R$ 10,000.00",5,29/07/2016,Vânia Petermann,Titular,S,N,N,N,-,0,N,N,N,-,0,N,N,N,N,-,N
397,improcedente,-,R$ 0.00,0,22/06/2016,Fernando de Castro Faria,Titular,N,N,N,N,-,0,N,N,N,-,0,S,N,N,N,S,N
398,total_procedente,-,"R$ 5,000.00",3,29/07/2016,Vânia Petermann,Titular,N,N,N,N,-,0,S,S,N,-,0,N,N,N,N,N,N
399,parcial_procedente,-,"R$ 2,000.00",1,29/07/2016,Vânia Petermann,Titular,S,N,N,N,-,0,N,N,N,-,0,N,N,N,N,N,N
400,total_procedente,-,"R$ 5,000.00",3,11/08/2016,Maiara Nuernberg Philippi,Leigo,N,N,N,N,-,0,N,N,S,08:00:00,3,N,N,N,N,-,N
401,improcedente,-,R$ 0.00,0,21/07/2016,Fernando de Castro Faria,Titular,N,N,N,N,-,0,N,N,N,-,0,S,N,S,N,-,N
402,parcial_procedente,-,R$ 0.00,0,27/07/2016,Vânia Petermann,Titular,N,N,N,N,-,0,S,N,N,-,0,N,N,N,N,-,N
403,parcial_procedente,-,R$ 0.00,0,27/07/2016,Vânia Petermann,Titular,N,N,N,N,-,0,S,N,N,-,0,N,N,N,N,-,N
404,total_procedente,-,"R$ 2,000.00",1,11/04/2016,Lucilene dos Santos,Substituto,N,N,N,N,-,0,N,N,S,04:00:00,2,N,N,N,N,N,N
405,total_procedente,-,"R$ 15,000.00",6,30/05/2016,Lucilene dos Santos,Substituto,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,-,N
406,parcial_procedente,-,R$ 0.00,0,19/05/2016,Lucilene dos Santos,Substituto,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,S,N
407,total_procedente,-,"R$ 5,000.00",3,30/05/2016,Lucilene dos Santos,Substituto,N,N,N,S,3,2,N,N,N,-,0,N,N,N,N,-,S
408,total_procedente,-,"R$ 12,000.00",6,18/03/2016,Rudson Marcos,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,-,N
409,parcial_procedente,-,"R$ 8,000.00",4,18/03/2016,Rudson Marcos,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,S,N,-,N
410,parcial_procedente,-,"R$ 3,000.00",2,08/04/2016,Rudson Marcos,Titular,S,N,N,N,-,0,N,N,N,-,0,N,N,N,N,N,N
411,total_procedente,-,"R$ 3,000.00",2,08/04/2016,Rudson Marcos,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,N,N
412,parcial_procedente,-,"R$ 5,000.00",3,08/04/2016,Rudson Marcos,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,S,N,-,N
