sentença,julgamento,julgamento_2,dano_moral_individual,faixa_dano_moral_individual,data_julgamento,juiz,tipo_juiz,direito_de_arrependimento,descumprimento_de_oferta,extravio_definitivo,extravio_temporário,intervalo_extravio_temporário,faixa_intervalo_extravio_temporário,violação_furto_avaria,cancelamento/alteração_destino,atraso,intervalo_atraso,faixa_intervalo_atraso,culpa_exclusiva_consumidor,condições_climáticas/fechamento_aeroporto,noshow,overbooking,assistência_cia_aérea,hipervulnerável
660,parcial_procedente,-,"R$ 5,000.00",3,28/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
661,parcial_procedente,-,"R$ 10,000.00",5,30/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
662,total_procedente,-,"R$ 15,000.00",6,29/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,30:00:00,7,N,N,N,N,,
663,parcial_procedente,-,"R$ 5,000.00",3,29/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
664,improcedente,-,R$ 0.00,0,30/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
665,parcial_procedente,-,"R$ 10,000.00",5,29/05/2019,Vânia Petermann,Titular,N,N,N,S,7,3,N,N,N,-,0,N,N,N,N,,
666,parcial_procedente,-,R$ 0.00,0,30/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
667,parcial_procedente,-,"R$ 11,000.00",6,30/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,26:00:00,6,N,N,N,N,,
668,total_procedente,-,"R$ 10,000.00",5,30/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,34:00:00,7,N,N,N,N,,
669,parcial_procedente,-,"R$ 7,000.00",4,31/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,09:00:00,3,N,N,N,N,,
670,parcial_procedente,-,"R$ 7,000.00",4,31/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,09:00:00,3,N,N,N,N,,
671,parcial_procedente,-,R$ 0.00,0,31/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
672,improcedente,-,R$ 0.00,0,31/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
673,parcial_procedente,-,"R$ 5,000.00",3,03/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,S,,
674,parcial_procedente,-,"R$ 11,000.00",6,05/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,12:00:00,4,N,N,N,N,,
674,parcial_procedente,-,"R$ 10,000.00",5,05/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,12:00:00,4,N,N,N,N,,
675,parcial_procedente,-,"R$ 10,000.00",5,06/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
676,parcial_procedente,-,"R$ 10,000.00",5,07/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,12:00:00,4,N,N,N,N,,
677,parcial_procedente,-,"R$ 15,000.00",6,07/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,36:00:00,7,N,N,N,N,,
678,parcial_procedente,-,"R$ 14,000.00",6,07/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,31:00:00,7,N,N,N,N,,
679,parcial_procedente,-,"R$ 10,000.00",5,07/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,12:00:00,4,N,N,N,N,,
680,parcial_procedente,-,"R$ 2,000.00",1,07/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,11:00:00,3,N,N,N,N,,
681,parcial_procedente,-,"R$ 8,000.00",4,10/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,17:00:00,5,N,N,N,N,,
682,total_procedente,extinto,"R$ 8,000.00",4,10/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
683,parcial_procedente,-,"R$ 8,000.00",4,10/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,16:00:00,5,N,N,N,N,,
684,parcial_procedente,-,"R$ 8,000.00",4,10/06/2019,Vânia Petermann,Titular,N,N,N,S,3,2,N,N,S,07:00:00,2,N,N,N,N,,
685,parcial_procedente,-,"R$ 10,000.00",5,11/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
686,parcial_procedente,-,"R$ 6,000.00",3,11/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,12:00:00,4,N,N,N,N,,
687,parcial_procedente,-,"R$ 3,000.00",2,11/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,05:00:00,2,N,N,N,N,,
688,parcial_procedente,-,"R$ 5,000.00",3,11/06/2019,Vânia Petermann,Titular,N,N,N,S,7,3,N,N,N,-,0,N,N,N,N,,
689,parcial_procedente,-,"R$ 15,000.00",6,11/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,29:30:00,7,N,N,N,N,,
690,parcial_procedente,-,"R$ 10,000.00",5,12/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
691,parcial_procedente,-,"R$ 8,000.00",4,14/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:15:00,3,N,N,N,N,,
691,parcial_procedente,-,"R$ 5,000.00",3,14/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:15:00,3,N,N,N,N,,
692,parcial_procedente,-,R$ 0.00,0,13/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
693,total_procedente,-,R$ 0.00,0,13/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
694,parcial_procedente,-,"R$ 2,000.00",1,14/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
695,parcial_procedente,-,R$ 0.00,0,17/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
696,improcedente,-,R$ 0.00,0,17/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
697,improcedente,-,R$ 0.00,0,17/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
698,improcedente,extinto,R$ 0.00,0,17/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
699,parcial_procedente,-,"R$ 15,000.00",6,17/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,48:00:00,7,N,N,N,N,,
700,parcial_procedente,-,R$ 0.00,0,17/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
701,parcial_procedente,-,"R$ 15,000.00",6,18/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,54:00:00,7,N,N,N,N,,
702,parcial_procedente,-,"R$ 8,000.00",4,18/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,17:00:00,5,N,N,N,N,,
703,parcial_procedente,-,"R$ 7,000.00",4,18/06/2019,Vânia Petermann,Titular,N,S,N,N,-,0,N,N,N,-,0,N,N,N,N,,
704,parcial_procedente,-,"R$ 5,000.00",3,18/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
705,parcial_procedente,-,"R$ 7,000.00",4,19/06/2019,Vânia Petermann,Titular,N,S,N,N,-,0,N,N,N,-,0,N,N,N,N,,
706,parcial_procedente,-,"R$ 6,000.00",3,19/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,13:00:00,4,N,N,N,S,,
707,parcial_procedente,-,R$ 0.00,0,21/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
708,parcial_procedente,-,"R$ 8,000.00",4,21/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
709,parcial_procedente,-,"R$ 10,000.00",5,24/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,17:00:00,5,N,N,S,N,,
710,parcial_procedente,-,"R$ 1,500.00",1,25/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
711,parcial_procedente,-,"R$ 4,500.00",3,25/06/2019,Vânia Petermann,Titular,N,N,N,S,3,2,N,N,N,-,0,N,N,N,N,,
712,total_procedente,improcedente,"R$ 3,000.00",2,25/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
713,parcial_procedente,-,"R$ 7,000.00",4,27/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,19:00:00,5,N,N,N,N,,
714,improcedente,-,R$ 0.00,0,27/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,S,N,,
715,parcial_procedente,-,"R$ 11,000.00",6,28/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,23:00:00,5,N,N,N,N,,
716,improcedente,-,R$ 0.00,0,28/06/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,S,N,,
717,parcial_procedente,-,"R$ 7,000.00",4,01/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,15:00:00,4,N,N,N,N,,
718,improcedente,-,R$ 0.00,0,01/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
719,improcedente,-,R$ 0.00,0,02/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,S,,
720,parcial_procedente,-,R$ 0.00,0,03/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
721,parcial_procedente,-,"R$ 8,000.00",4,04/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,17:00:00,5,N,N,N,N,,
722,total_procedente,-,"R$ 7,000.00",4,04/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,15:00:00,4,N,N,N,N,,
723,improcedente,-,R$ 0.00,0,04/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
724,parcial_procedente,-,"R$ 7,000.00",4,04/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,15:30:00,4,N,N,N,N,,
725,parcial_procedente,-,"R$ 4,000.00",2,04/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,09:00:00,3,N,N,N,N,,
726,parcial_procedente,-,"R$ 5,000.00",3,05/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,07:00:00,2,N,N,N,N,,
727,parcial_procedente,-,"R$ 5,000.00",3,09/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
728,parcial_procedente,-,"R$ 5,000.00",3,05/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,S,N,,
729,parcial_procedente,-,"R$ 3,000.00",2,05/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,05:00:00,2,N,N,N,N,,
730,parcial_procedente,-,"R$ 5,000.00",3,09/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
731,parcial_procedente,-,"R$ 4,500.00",3,10/07/2019,Vânia Petermann,Titular,N,N,N,S,3,2,N,N,N,-,0,N,N,N,N,,
731,parcial_procedente,-,"R$ 3,000.00",2,10/07/2019,Vânia Petermann,Titular,N,N,N,S,2,2,N,N,N,-,0,N,N,N,N,,
732,parcial_procedente,-,"R$ 8,000.00",4,10/07/2019,Vânia Petermann,Titular,N,N,N,S,22,4,S,N,N,-,0,N,N,N,N,,
733,parcial_procedente,-,"R$ 2,000.00",1,11/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,04:20:00,2,N,N,N,N,,
734,parcial_procedente,-,"R$ 5,000.00",3,12/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,09:00:00,3,N,N,N,N,,
735,parcial_procedente,-,"R$ 8,000.00",4,12/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,17:00:00,5,N,N,N,N,,
736,parcial_procedente,-,"R$ 7,000.00",4,12/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,14:00:00,4,N,N,N,N,,
737,parcial_procedente,-,"R$ 7,000.00",4,12/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,12:00:00,4,N,N,N,N,,
738,parcial_procedente,-,"R$ 7,000.00",4,15/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,15:30:00,4,N,N,N,N,,
739,parcial_procedente,-,"R$ 1,500.00",1,15/07/2019,Vânia Petermann,Titular,N,N,N,S,1,1,N,N,N,-,0,N,N,N,N,,
740,parcial_procedente,-,"R$ 6,000.00",3,15/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,11:00:00,3,N,N,N,N,,
741,parcial_procedente,-,"R$ 5,000.00",3,16/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
742,parcial_procedente,-,"R$ 4,000.00",2,15/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,12:00:00,4,N,N,N,N,,
743,parcial_procedente,improcedente,R$ 0.00,0,16/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
744,parcial_procedente,-,"R$ 5,000.00",3,16/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,S,N,,
745,parcial_procedente,-,"R$ 1,000.00",1,18/07/2019,Vânia Petermann,Titular,S,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
746,parcial_procedente,-,"R$ 2,000.00",1,19/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
747,parcial_procedente,-,"R$ 8,000.00",4,19/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,16:00:00,5,N,S,N,N,,
748,parcial_procedente,-,"R$ 8,000.00",4,24/07/2019,Vânia Petermann,Titular,N,N,N,S,1,1,N,N,S,10:00:00,3,N,N,N,N,,
749,parcial_procedente,-,"R$ 10,000.00",5,24/07/2019,Vânia Petermann,Titular,N,N,S,N,-,0,N,N,N,-,0,N,N,N,N,,
750,parcial_procedente,-,"R$ 10,000.00",5,26/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,26:00:00,6,N,N,N,N,,
751,total_procedente,-,R$ 0.00,0,29/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
752,parcial_procedente,-,"R$ 6,500.00",4,30/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,08:00:00,3,N,N,N,N,,
753,parcial_procedente,-,"R$ 9,000.00",5,31/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,12:00:00,4,N,N,N,N,,
754,parcial_procedente,-,"R$ 3,000.00",2,01/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,05:00:00,2,N,N,N,N,,
755,parcial_procedente,-,"R$ 10,000.00",5,31/07/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,37:00:00,7,N,N,N,N,,
756,improcedente,-,R$ 0.00,0,02/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
757,parcial_procedente,-,"R$ 13,500.00",6,01/08/2019,Vânia Petermann,Titular,N,N,N,S,3,2,N,N,S,24:00:00,6,N,N,N,N,,
758,parcial_procedente,-,"R$ 4,500.00",3,02/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,09:00:00,3,N,N,N,N,,
759,parcial_procedente,-,"R$ 5,000.00",3,01/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
760,parcial_procedente,-,"R$ 6,000.00",3,02/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,15:00:00,4,N,N,N,N,,
761,parcial_procedente,-,"R$ 4,000.00",2,01/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,07:00:00,2,N,N,N,N,,
762,parcial_procedente,-,R$ 0.00,0,02/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
763,parcial_procedente,-,"R$ 20,000.00",6,02/08/2019,Vânia Petermann,Titular,N,N,S,S,2,2,N,N,N,-,0,N,N,N,N,,
764,parcial_procedente,-,"R$ 6,000.00",3,02/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,15:00:00,4,N,N,N,N,,
765,total_procedente,-,"R$ 10,000.00",5,02/08/2019,Vânia Petermann,Titular,N,N,N,S,72,4,N,N,N,-,0,N,N,N,N,,
766,parcial_procedente,-,"R$ 6,000.00",3,02/08/2019,Vânia Petermann,Titular,N,N,N,S,3,2,N,N,N,-,0,N,N,N,N,,
767,parcial_procedente,-,"R$ 12,000.00",6,02/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,31:00:00,7,N,N,N,N,,
768,total_procedente,-,"R$ 5,000.00",3,05/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
769,parcial_procedente,-,"R$ 2,500.00",2,05/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
770,parcial_procedente,-,"R$ 5,000.00",3,06/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,04:30:00,2,N,N,N,N,,
771,parcial_procedente,-,"R$ 9,000.00",5,06/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,16:00:00,5,N,N,N,N,,
772,parcial_procedente,-,"R$ 10,000.00",5,06/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
773,parcial_procedente,-,"R$ 10,000.00",5,07/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,48:00:00,7,N,N,N,N,,
774,parcial_procedente,-,R$ 0.00,0,06/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
775,parcial_procedente,-,"R$ 9,000.00",5,07/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,17:00:00,5,N,N,N,N,,
776,improcedente,-,R$ 0.00,0,07/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
777,parcial_procedente,-,R$ 0.00,0,07/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
778,parcial_procedente,-,"R$ 5,000.00",3,07/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
779,improcedente,-,R$ 0.00,0,07/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
780,improcedente,-,R$ 0.00,0,07/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
781,parcial_procedente,-,"R$ 8,000.00",4,08/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,12:00:00,4,N,N,N,N,,
782,parcial_procedente,-,"R$ 5,000.00",3,08/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,S,N,,
783,parcial_procedente,-,"R$ 10,000.00",5,08/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
784,parcial_procedente,-,R$ 0.00,0,09/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
785,parcial_procedente,-,"R$ 5,000.00",3,09/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,12:00:00,4,N,N,N,N,,
786,parcial_procedente,-,R$ 0.00,0,09/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
787,parcial_procedente,-,"R$ 3,000.00",2,12/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,05:00:00,2,N,N,N,N,,
788,parcial_procedente,-,"R$ 8,000.00",4,12/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,18:00:00,5,N,N,N,N,,
789,parcial_procedente,-,"R$ 2,000.00",1,09/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,05:00:00,2,N,N,N,N,,
790,parcial_procedente,-,"R$ 3,500.00",2,09/08/2019,Vânia Petermann,Titular,N,N,N,S,3,2,N,N,S,02:00:00,1,N,N,N,N,,
791,parcial_procedente,-,"R$ 6,000.00",3,09/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,16:00:00,5,N,N,N,N,,
792,parcial_procedente,-,"R$ 5,000.00",3,12/08/2019,Vânia Petermann,Titular,N,N,S,N,-,0,N,N,N,-,0,N,N,N,N,,
793,parcial_procedente,-,"R$ 4,000.00",2,12/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,05:00:00,2,N,N,N,N,,
794,parcial_procedente,-,"R$ 10,000.00",5,13/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,21:00:00,5,N,N,N,N,,
795,parcial_procedente,-,"R$ 5,000.00",3,13/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,S,N,,
796,parcial_procedente,-,"R$ 5,000.00",3,14/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,09:00:00,3,N,N,N,N,,
797,parcial_procedente,-,"R$ 10,000.00",5,14/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,20:00:00,5,N,N,N,N,,
798,total_procedente,-,"R$ 10,000.00",5,14/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
799,parcial_procedente,-,R$ 0.00,0,18/07/2017,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
800,parcial_procedente,-,"R$ 8,000.00",4,14/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,11:00:00,3,N,N,N,N,,
801,parcial_procedente,-,"R$ 10,000.00",5,19/08/2019,Vânia Petermann,Titular,N,N,S,S,5,3,N,N,N,-,0,N,N,N,N,,
802,parcial_procedente,-,"R$ 6,000.00",3,19/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,09:00:00,3,N,N,N,N,,
803,parcial_procedente,-,"R$ 10,000.00",5,20/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,14:00:00,4,N,N,N,N,,
804,total_procedente,-,"R$ 10,000.00",5,20/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,18:00:00,5,N,N,N,N,,
805,parcial_procedente,-,"R$ 5,000.00",3,20/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
806,parcial_procedente,-,"R$ 3,000.00",2,21/08/2019,Vânia Petermann,Titular,N,N,N,S,2,2,N,N,N,-,0,N,N,N,N,,
807,parcial_procedente,-,"R$ 5,000.00",3,21/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,11:00:00,3,N,N,N,N,,
808,parcial_procedente,-,"R$ 10,000.00",5,22/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,27:00:00,6,N,N,N,N,,
809,parcial_procedente,-,"R$ 5,000.00",3,23/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,08:00:00,3,N,N,N,N,,
810,parcial_procedente,-,R$ 0.00,0,26/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
811,parcial_procedente,-,"R$ 3,000.00",2,27/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,06:00:00,2,N,N,N,N,,
812,parcial_procedente,-,R$ 0.00,0,27/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
813,parcial_procedente,-,"R$ 6,000.00",3,28/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
814,parcial_procedente,-,"R$ 3,500.00",2,28/08/2019,Vânia Petermann,Titular,N,N,N,S,1,1,N,N,S,07:00:00,2,N,N,N,N,,
815,parcial_procedente,-,R$ 0.00,0,29/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
816,parcial_procedente,-,"R$ 6,000.00",3,29/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,11:00:00,3,N,N,N,N,,
817,parcial_procedente,-,"R$ 10,000.00",5,30/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,23:00:00,5,N,N,N,N,,
818,improcedente,-,R$ 0.00,0,30/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
819,parcial_procedente,-,"R$ 10,000.00",5,30/08/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
820,parcial_procedente,-,"R$ 5,000.00",3,02/09/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,09:00:00,3,N,N,N,N,,
821,parcial_procedente,-,"R$ 10,000.00",5,03/09/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
822,parcial_procedente,-,"R$ 8,000.00",4,04/09/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,19:00:00,5,N,N,N,N,,
823,parcial_procedente,-,"R$ 6,000.00",3,04/09/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,08:00:00,3,N,N,N,N,,
824,parcial_procedente,-,"R$ 5,000.00",3,04/09/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,S,N,,
825,parcial_procedente,-,"R$ 1,000.00",1,05/09/2019,Vânia Petermann,Titular,N,N,N,S,1,1,N,N,N,-,0,N,N,N,N,,
826,parcial_procedente,-,"R$ 6,000.00",3,06/09/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,14:00:00,4,N,N,N,N,,
827,parcial_procedente,-,"R$ 7,000.00",4,09/09/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
828,parcial_procedente,-,"R$ 4,000.00",2,09/09/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
829,parcial_procedente,-,"R$ 4,000.00",2,09/09/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
830,parcial_procedente,-,"R$ 3,500.00",2,10/09/2019,Vânia Petermann,Titular,N,N,N,S,1,1,N,N,S,05:00:00,2,N,N,N,N,,
831,parcial_procedente,-,"R$ 10,000.00",5,10/09/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,23:00:00,5,N,N,N,N,,
